OrganizationIdentifier,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,HUCEightDigitCode,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode,ProviderName
21IOWA_WQX,21IOWA_WQX-21300004,Emerson Bay Beach,Lake,10230003,43.356546,-95.175396,19,59,STORET
21IOWA_WQX,21IOWA_WQX-21300005,Crandalls Beach,Lake,10230003,43.496309,-95.121003,19,59,STORET
21IOWA_WQX,21IOWA_WQX-21300007,Orleans City Beach,Lake,10230003,43.446717,-95.095578,19,59,STORET
21IOWA_WQX,21IOWA_WQX-21350001,Beeds Lake Beach,Lake,7080204,42.768378,-93.244366,19,69,STORET
21IOWA_WQX,21IOWA_WQX-21390001,Springbrook Beach,Lake,7100007,41.776759,-94.465779,19,77,STORET
21IOWA_WQX,21IOWA_WQX-21420001,Pine Lake South Beach,Lake,7080207,42.370543,-93.077994,19,83,STORET
21IOWA_WQX,21IOWA_WQX-21440001,Geode Lake Beach,Lake,7080107,40.826117,-91.392169,19,87,STORET
21IOWA_WQX,21IOWA_WQX-21500001,Rock Creek Beach,Lake,7080106,41.742616,-92.85157,19,99,STORET
21IOWA_WQX,21IOWA_WQX-21520001,Lake Macbride Beach,Lake,7080208,41.797834,-91.563612,19,103,STORET
21IOWA_WQX,21IOWA_WQX-21570001,Pleasant Creek Beach,Lake,7080205,42.124481,-91.817226,19,113,STORET
21IOWA_WQX,21IOWA_WQX-21590001,Red Haw Beach,Lake,7100008,41.000736,-93.274065,19,117,STORET
21IOWA_WQX,21IOWA_WQX-21620001,Lake Keomah Beach,Lake,7080105,41.291232,-92.539666,19,123,STORET
21IOWA_WQX,21IOWA_WQX-21670001,Blue Lake Beach,Lake,10230001,42.041409,-96.162561,19,133,STORET
21IOWA_WQX,21IOWA_WQX-21690001,Viking Lake Beach,Lake,10240009,40.972501,-95.036074,19,137,STORET
21IOWA_WQX,21IOWA_WQX-21770001,Big Creek Beach,Lake,7100004,41.820108,-93.739543,19,153,STORET
21IOWA_WQX,21IOWA_WQX-21780001,Lake Manawa Beach,Lake,10230006,41.200974,-95.859442,19,155,STORET
21IOWA_WQX,21IOWA_WQX-21810001,Denison Beach,Lake,7100006,42.301646,-95.035587,19,161,STORET
21IOWA_WQX,21IOWA_WQX-21810002,Black Hawk Beach,Lake,7100006,42.29299,-95.016776,19,161,STORET
21IOWA_WQX,21IOWA_WQX-21830001,Prairie Rose Beach,Lake,10240002,41.604657,-95.218705,19,165,STORET
21IOWA_WQX,21IOWA_WQX-21860001,Union Grove Beach,Lake,7080208,42.12903,-92.722883,19,171,STORET
21IOWA_WQX,21IOWA_WQX-21870001,Lake of Three Fires Beach,Lake,10240013,40.711254,-94.687496,19,173,STORET
21IOWA_WQX,21IOWA_WQX-21880001,Green Valley Beach,Lake,10240012,41.103881,-94.386199,19,175,STORET
21IOWA_WQX,21IOWA_WQX-21890001,Lacey-Keosauqua Beach,Lake,7100009,40.709206,-91.971532,19,177,STORET
21IOWA_WQX,21IOWA_WQX-21910001,Lake Ahquabi Beach,Lake,7100008,41.290152,-93.590971,19,181,STORET
21IOWA_WQX,21IOWA_WQX-21920001,Lake Darling Beach,Lake,7080107,41.190805,-91.892793,19,183,STORET
21IOWA_WQX,21IOWA_WQX-21930001,Bobwhite State Park,Lake,10280201,40.716664,-93.398371,19,185,STORET
21IOWA_WQX,21IOWA_WQX-21940001,Brushy Creek Beach,Lake,7100004,42.391904,-93.984671,19,187,STORET
21IOWA_WQX,21IOWA_WQX-22010001,Greenfield Lake,Lake,10240009,41.298198,-94.481333,19,1,STORET
21IOWA_WQX,21IOWA_WQX-22010002,Lake Orient,Lake,10240010,41.196437,-94.436176,19,1,STORET
21IOWA_WQX,21IOWA_WQX-22010003,Meadow Lake,Lake,7100008,41.387098,-94.437542,19,1,STORET
21IOWA_WQX,21IOWA_WQX-22010004,Mormon Trail Lake,Lake,10240009,41.242803,-94.635685,19,1,STORET
21IOWA_WQX,21IOWA_WQX-22010005,Nodaway Lake,Lake,10240009,41.289368,-94.497566,19,1,STORET
21IOWA_WQX,21IOWA_WQX-22020001,Lake Icaria,Lake,10240010,41.047901,-94.751936,19,3,STORET
21IOWA_WQX,21IOWA_WQX-22040001,Rathbun Lake,Reservoir,10280201,40.824972,-92.894015,19,7,STORET
21IOWA_WQX,21IOWA_WQX-22050001,Littlefield Lake (maximum water depth),Lake,10240003,41.559414,-94.786286,19,9,STORET
21IOWA_WQX,21IOWA_WQX-22060001,Hannen Lake,Lake,7080208,41.863649,-92.112785,19,11,STORET
21IOWA_WQX,21IOWA_WQX-22060002,Rodgers Lake,Lake,7080205,42.201468,-92.075563,19,11,STORET
21IOWA_WQX,21IOWA_WQX-22070001,George Wyth Lake,Lake,7080205,42.534295,-92.395797,19,13,STORET
21IOWA_WQX,21IOWA_WQX-22070002,Green Belt Lake,Lake,7080205,42.478854,-92.388799,19,13,STORET
21IOWA_WQX,21IOWA_WQX-22070003,Meyers Lake,Lake,7080205,42.461765,-92.289557,19,13,STORET
21IOWA_WQX,21IOWA_WQX-22070004,Mitchell Lake (Deep point),Lake,7080205,42.477224,-92.31408,19,13,STORET
21IOWA_WQX,21IOWA_WQX-22070005,South Prairie Lake,Lake,7080205,42.477834,-92.460163,19,13,STORET
21IOWA_WQX,21IOWA_WQX-22080004,Don Williams Lake (maximum water depth),Lake,7100004,42.111953,-94.019875,19,15,STORET
21IOWA_WQX,21IOWA_WQX-22090001,Avenue of the Saints Lake,Lake,7080202,42.710038,-92.536443,19,17,STORET
21IOWA_WQX,21IOWA_WQX-22110001,Storm Lake Max Depth,Lake,7100006,42.621568,-95.204186,19,21,STORET
21IOWA_WQX,21IOWA_WQX-22130001,North Twin Lake (maximum water depth),Lake,7100006,42.476873,-94.63802,19,25,STORET
21IOWA_WQX,21IOWA_WQX-22140001,Swan Lake Max Depth,Lake,7100007,42.037657,-94.84054,19,27,STORET
21IOWA_WQX,21IOWA_WQX-22150001,Cold Springs Lake,Lake,10240003,41.291871,-95.087473,19,29,STORET
21IOWA_WQX,21IOWA_WQX-22150002,Lake Anita,Lake,10240003,41.42777,-94.781021,19,29,STORET
21IOWA_WQX,21IOWA_WQX-22170001,Clear Lake,Lake,7080203,43.125762,-93.416968,19,33,STORET
21IOWA_WQX,21IOWA_WQX-22200001,East Lake Osceola,Lake,7100008,41.032595,-93.742585,19,39,STORET
